Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2018-01-02,43.064998626708984,177.0,98.94000244140625,296.8399963378906,157.0399932861328,104.41000366210938,38.86000061035156,127.58000183105469,111.80000305175781,,255.6699981689453,188.02999877929688,147.3232421875,147.46653747558594,46.849998474121094,139.22999572753906,107.94999694824219,45.540000915527344,173.22000122070312,235.63999938964844,53.64503860473633,85.94999694824219,63.4900016784668,90.6500015258789,131.97999572753906,221.16000366210938,114.51000213623047,53.529998779296875,98.58999633789062
2018-01-03,43.057498931884766,180.33999633789062,99.55000305175781,297.79998779296875,157.27999877929688,105.29000091552734,39.16999816894531,128.50999450683594,112.27999877929688,,253.2899932861328,189.00999450683594,146.10601806640625,151.52008056640625,45.2599983215332,140.55999755859375,108.05999755859375,45.439998626708984,172.49000549316406,235.6300048828125,53.568702697753906,86.3499984741211,63.47999954223633,90.54000091552734,132.39999389648438,223.47999572753906,115.6500015258789,52.43000030517578,99.44999694824219
2018-01-04,43.25749969482422,179.5800018310547,100.8499984741211,296.6700134277344,159.44000244140625,106.68000030517578,38.9900016784668,128.11000061035156,112.2300033569336,,256.8299865722656,190.50999450683594,148.08041381835938,154.5889129638672,44.43000030517578,140.5500030517578,109.04000091552734,46.08000183105469,173.6999969482422,238.7100067138672,54.4370231628418,87.11000061035156,63.439998626708984,91.18000030517578,132.39999389648438,224.4499969482422,116.08000183105469,52.599998474121094,99.54000091552734
2018-01-05,43.75,180.64999389648438,101.08000183105469,308.8399963378906,161.9600067138672,108.0999984741211,39.529998779296875,127.9000015258789,111.62000274658203,,255.52000427246094,192.5,149.11553955078125,155.3441619873047,44.7400016784668,141.7100067138672,108.33999633789062,46.06999969482422,174.0500030517578,240.57000732421875,54.3797721862793,88.19000244140625,63.97999954223633,91.23999786376953,132.16000366210938,228.72999572753906,118.86000061035156,52.47999954223633,100.12999725341797
2018-01-08,43.587501525878906,180.60000610351562,100.1500015258789,310.1499938964844,166.02999877929688,108.86000061035156,39.939998626708984,128.52999877929688,110.0199966430664,,251.80999755859375,192.0399932861328,148.31044006347656,156.28106689453125,44.7400016784668,141.88999938964844,108.5,46.0,173.92999267578125,239.7899932861328,54.064884185791016,88.27999877929688,64.55000305175781,91.72000122070312,131.4499969482422,224.75999450683594,119.33999633789062,52.38999938964844,101.61000061035156
2018-01-09,43.58250045776367,183.3800048828125,100.5199966430664,318.42999267578125,166.42999267578125,109.1500015258789,39.689998626708984,127.83999633789062,109.94000244140625,,253.94000244140625,193.10000610351562,149.52767944335938,156.625244140625,43.619998931884766,144.13999938964844,109.05000305175781,46.22999954223633,173.5399932861328,241.27999877929688,54.1984748840332,88.22000122070312,64.08999633789062,91.05000305175781,132.47000122070312,225.8800048828125,119.11000061035156,51.61000061035156,100.38999938964844
2018-01-10,43.5724983215332,182.86000061035156,101.22000122070312,320.260009765625,165.8699951171875,108.80000305175781,39.90999984741211,128.66000366210938,109.47000122070312,,254.3300018310547,191.8000030517578,150.56280517578125,156.95985412597656,42.5,143.97000122070312,110.25,46.06999969482422,173.50999450683594,241.13999938964844,54.67557144165039,87.81999969482422,64.22000122070312,90.47000122070312,132.11000061035156,224.1999969482422,118.9800033569336,51.689998626708984,99.66999816894531
2018-01-11,43.81999969482422,181.9600067138672,100.7300033569336,328.1199951171875,169.1999969482422,109.0999984741211,40.099998474121094,132.57000732421875,110.98999786376953,,255.1300048828125,194.67999267578125,151.35830688476562,156.97897338867188,43.40999984741211,144.7899932861328,110.83999633789062,46.040000915527344,173.38999938964844,242.30999755859375,54.961830139160156,88.08000183105469,64.29000091552734,90.1500015258789,132.33999633789062,225.38999938964844,119.83999633789062,52.11000061035156,100.0199966430664
2018-01-12,44.272499084472656,185.0399932861328,100.97000122070312,336.2099914550781,170.3000030517578,110.23999786376953,40.869998931884766,133.60000610351562,112.47000122070312,,257.0299987792969,196.4199981689453,152.4605255126953,155.965576171875,43.2400016784668,145.75999450683594,112.66999816894531,46.150001525878906,173.57000732421875,244.47000122070312,55.97328186035156,89.5999984741211,64.66999816894531,89.61000061035156,134.72999572753906,228.63999938964844,120.08999633789062,51.86000061035156,100.87000274658203
2018-01-16,44.04750061035156,185.5399932861328,100.33999633789062,335.1600036621094,169.30999755859375,108.88999938964844,40.540000915527344,132.00999450683594,110.69000244140625,,258.4599914550781,196.30999755859375,151.32955932617188,156.6443634033203,43.13999938964844,146.86000061035156,112.2699966430664,46.529998779296875,173.67999267578125,244.74000549316406,59.22710037231445,88.3499984741211,63.41999816894531,90.22000122070312,135.52000427246094,232.89999389648438,120.38999938964844,51.65999984741211,100.69000244140625
2018-01-17,44.775001525878906,188.00999450683594,100.76000213623047,351.010009765625,168.5,110.04000091552734,41.20000076293945,132.36000061035156,111.97000122070312,,253.64999389648438,199.82000732421875,151.8279571533203,161.2332763671875,44.38999938964844,146.97999572753906,112.98999786376953,46.81999969482422,174.97999572753906,248.11000061035156,59.18893051147461,90.13999938964844,63.810001373291016,91.19999694824219,136.86000061035156,238.42999267578125,121.9800033569336,51.720001220703125,102.69999694824219
2018-01-18,44.814998626708984,187.58999633789062,99.86000061035156,340.1600036621094,168.8300018310547,111.7699966430664,41.29999923706055,131.58999633789062,110.41999816894531,,250.97000122070312,198.3300018310547,151.22413635253906,161.68260192871094,44.47999954223633,146.9199981689453,113.26000213623047,46.880001068115234,174.57000732421875,245.91000366210938,58.33015441894531,90.0999984741211,64.11000061035156,90.18000030517578,137.33999633789062,243.16000366210938,123.11000061035156,51.54999923706055,104.30000305175781
2018-01-19,44.6150016784668,189.27999877929688,98.02999877929688,337.7300109863281,170.41000366210938,111.93000030517578,41.290000915527344,131.3000030517578,110.58999633789062,,256.1199951171875,201.3300018310547,152.0963134765625,155.2294464111328,44.81999969482422,147.36000061035156,113.01000213623047,47.15999984741211,176.1199951171875,248.17999267578125,58.47328186035156,90.0,67.20999908447266,91.06999969482422,137.85000610351562,243.35000610351562,122.69999694824219,51.90999984741211,104.58999633789062
2018-01-22,44.25,192.3300018310547,98.31999969482422,338.0,170.88999938964844,112.88999938964844,41.65999984741211,132.55999755859375,111.0999984741211,,261.5199890136719,204.4600067138672,151.9525604248047,155.44932556152344,45.75,148.13999938964844,114.33000183105469,47.380001068115234,176.2100067138672,247.3000030517578,58.44465637207031,91.61000061035156,66.38999938964844,91.88999938964844,139.35000610351562,243.55999755859375,124.33000183105469,53.459999084472656,105.44999694824219
2018-01-23,44.2599983215332,191.99000549316406,97.9800033569336,335.5899963378906,169.42999267578125,113.23999786376953,42.099998474121094,131.02000427246094,110.41000366210938,,260.0899963378906,204.89999389648438,152.95892333984375,158.93881225585938,46.060001373291016,141.8300018310547,114.20999908447266,47.45000076293945,176.80999755859375,246.30999755859375,58.874046325683594,91.9000015258789,67.13999938964844,89.05000305175781,146.25999450683594,245.2100067138672,124.6500015258789,53.22999954223633,105.9000015258789
2018-01-24,43.55500030517578,190.6300048828125,99.30000305175781,334.69000244140625,168.33999633789062,112.8499984741211,42.16999816894531,131.38999938964844,110.5,,265.67999267578125,206.22000122070312,153.32313537597656,158.09751892089844,45.5099983215332,142.07000732421875,115.66999816894531,47.83000183105469,176.1199951171875,247.69000244140625,58.377864837646484,91.81999969482422,68.0,88.30999755859375,147.6199951171875,244.85000610351562,124.55000305175781,54.220001220703125,105.79000091552734
2018-01-25,42.77750015258789,190.0800018310547,99.69000244140625,343.1099853515625,169.3699951171875,111.95999908447266,41.900001525878906,130.64999389648438,110.55000305175781,,269.0299987792969,205.3699951171875,155.1154327392578,158.193115234375,45.29999923706055,144.39999389648438,115.69999694824219,47.84000015258789,175.66000366210938,252.36000061035156,58.492366790771484,92.33000183105469,67.70999908447266,88.33999633789062,148.47000122070312,245.17999267578125,125.22000122070312,54.290000915527344,106.5999984741211
